Date,DayoftheWeek,Activity,DaysTrained
06-28-2020,Sunday,yoga,1
06-29-2020,Monday,run,2
06-30-2020,Tuesday,rest,3
07-01-2020,Wednesday,HIIT,4
07-02-2020,Thursday,barre,5
07-03-2020,Friday,rest,6
07-04-2020,Saturday,hike/long walk,7
07-05-2020,Sunday,yoga,8
07-06-2020,Monday,run,9
07-07-2020,Tuesday,rest,10
07-08-2020,Wednesday,HIIT,11
07-09-2020,Thursday,barre,12
07-10-2020,Friday,rest,13
07-11-2020,Saturday,hike/long walk,14
07-12-2020,Sunday,yoga,15
07-13-2020,Monday,run,16
07-14-2020,Tuesday,rest,17
07-15-2020,Wednesday,HIIT,18
07-16-2020,Thursday,barre,19
07-17-2020,Friday,rest,20
07-18-2020,Saturday,hike/long walk,21
07-19-2020,Sunday,yoga,22
07-20-2020,Monday,run,23
07-21-2020,Tuesday,rest,24
07-22-2020,Wednesday,HIIT,25
07-23-2020,Thursday,barre,26
07-24-2020,Friday,rest,27
07-25-2020,Saturday,hike/long walk,28
07-26-2020,Sunday,yoga,29
07-27-2020,Monday,run,30
07-28-2020,Tuesday,rest,31
07-29-2020,Wednesday,HIIT,32
07-30-2020,Thursday,barre,33
07-31-2020,Friday,rest,34
08-01-2020,Saturday,hike/long walk,35
08-02-2020,Sunday,yoga,36
08-03-2020,Monday,run,37
08-04-2020,Tuesday,rest,38
08-05-2020,Wednesday,HIIT,39
08-06-2020,Thursday,barre,40
08-07-2020,Friday,rest,41
08-08-2020,Saturday,hike/long walk,42
08-09-2020,Sunday,yoga,43
08-10-2020,Monday,run,44
08-11-2020,Tuesday,"Rest up its your wedding anniversary with your best husband, Raj. Enjoy the day and congrats on 2 years!",45
08-12-2020,Wednesday,HIIT,46
08-13-2020,Thursday,barre,47
08-14-2020,Friday,rest,48
08-15-2020,Saturday,hike/long walk,49
08-16-2020,Sunday,yoga,50
08-17-2020,Monday,run,51
08-18-2020,Tuesday,rest,52
08-19-2020,Wednesday,HIIT,53
08-20-2020,Thursday,barre,54
08-21-2020,Friday,rest,55
08-22-2020,Saturday,hike/long walk,56
08-23-2020,Sunday,yoga,57
08-24-2020,Monday,run,58
08-25-2020,Tuesday,rest,59
08-26-2020,Wednesday,HIIT,60
08-27-2020,Thursday,barre,61
08-28-2020,Friday,rest,62
08-29-2020,Saturday,hike/long walk,63
08-30-2020,Sunday,yoga,64
08-31-2020,Monday,run,65
09-01-2020,Tuesday,rest,66
09-02-2020,Wednesday,HIIT,67
09-03-2020,Thursday,barre,68
09-04-2020,Friday,rest,69
09-05-2020,Saturday,hike/long walk,70
09-06-2020,Sunday,yoga,71
09-07-2020,Monday,run,72
09-08-2020,Tuesday,rest,73
09-09-2020,Wednesday,HIIT,74
09-10-2020,Thursday,barre,75
09-11-2020,Friday,rest,76
09-12-2020,Saturday,hike/long walk,77
09-13-2020,Sunday,yoga,78
09-14-2020,Monday,run,79
09-15-2020,Tuesday,rest,80
09-16-2020,Wednesday,HIIT,81
09-17-2020,Thursday,barre,82
09-18-2020,Friday,rest,83
09-19-2020,Saturday,hike/long walk,84
09-20-2020,Sunday,yoga,85
